20170722; Smögen 2017 Dag 2
Placering;Klass;Båt;Förare;Navigatör;Klubb;Start;Mål;Tid;Hastiget;Max Hasighet;Varv 1;Varv 2;Varv 3;Varv 4;Varv 5;Varv 6;Varv 7;Varv 8;Varv 9;Varv 10;Varv 11;Varv 12;Varv 13;Varv 14;Varv 15;Varv 16;Varv 17;Varv 18;Varv 19;Varv 20;Varv 21;
;Z;Z-891;Christoffer Boqvist;Robin Boqvist;ÖRK/ÖRK;12:02:55,00;13:12:20,21;01:09:25,21;43,3;52,87;00:06:09,20;00:11:33,92;00:11:41,47;00:13:29,49;00:13:15,71;00:13:15,42;;;;;;;;;;;;;;;

 
 
Ej registrerad målgång samtliga varv
Båt,Antalvarv, 
B-121;3
R1;0
R2;0
R3;0
RU-59;0
V-28;4
X-64;1
X-65;6
X-94;3
